bin,brand,type,level,bank,country
374633,AMERICAN EXPRESS,CREDIT,PERSONAL,,UNITED STATES
374634,AMERICAN EXPRESS,CREDIT,PERSONAL,BANK OF AMERICA,UNITED STATES
374635,AMERICAN EXPRESS,CREDIT,PERSONAL,BANK OF AMERICA,UNITED STATES
374636,AMERICAN EXPRESS,CREDIT,PERSONAL,BANK OF AMERICA,UNITED STATES
374637,AMERICAN EXPRESS,CREDIT,PERSONAL,BANK OF AMERICA,UNITED STATES
374638,AMERICAN EXPRESS,CREDIT,PERSONAL,BANK OF AMERICA,UNITED STATES
374639,AMERICAN EXPRESS,CREDIT,PERSONAL,BANK OF AMERICA,UNITED STATES
374640,AMERICAN EXPRESS,CREDIT,PERSONAL,AEI ITALY GSTAR CON REV,ITALY
374641,AMERICAN EXPRESS,CREDIT,PERSONAL,AEI ITALY GSTAR CON REV,ITALY
374642,AMERICAN EXPRESS,CREDIT,PERSONAL,AEI ITALY GSTAR CON REV,ITALY
374643,AMERICAN EXPRESS,CREDIT,PERSONAL,AEI ITALY GSTAR CON REV,ITALY
374644,AMERICAN EXPRESS,CREDIT,PERSONAL,AEI ITALY GSTAR CON REV,ITALY
374645,AMERICAN EXPRESS,CREDIT,PERSONAL,AMERICAN EXPRESS US CONSUMER,UNITED STATES
374646,AMERICAN EXPRESS,CREDIT,PERSONAL,AMERICAN EXPRESS US CONSUMER,UNITED STATES
374647,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX UK GLOBESTAR,UNITED KINGDOM
374648,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX UK GLOBESTAR,UNITED KINGDOM
374649,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX UK GLOBESTAR,UNITED KINGDOM
374650,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX GERMANY GLOBESTAR,GERMANY
374651,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX GERMANY GLOBESTAR,GERMANY
374652,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX GERMANY GLOBESTAR,GERMANY
374653,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX GERMANY GLOBESTAR,GERMANY
374654,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX GERMANY GLOBESTAR,GERMANY
374655,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX GERMANY GLOBESTAR,GERMANY
374656,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX GERMANY GLOBESTAR,GERMANY
374657,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX GERMANY GLOBESTAR,GERMANY
374658,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX GERMANY GLOBESTAR,GERMANY
374659,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX GERMANY GLOBESTAR,GERMANY
374660,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX GERMANY GLOBESTAR,GERMANY
374661,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX GERMANY GLOBESTAR,GERMANY
374662,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX GERMANY GLOBESTAR CHARGE,GERMANY
374663,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX GERMANY GLOBESTAR,GERMANY
374664,AMERICAN EXPRESS,CREDIT,CORPORATE,HYUNDAI CARD,"KOREA, REPUBLIC OF"
374665,AMERICAN EXPRESS,CREDIT,PLATINUM,,UNITED KINGDOM
374666,AMERICAN EXPRESS,CREDIT,PLATINUM,,UNITED KINGDOM
374667,AMERICAN EXPRESS,CREDIT,PLATINUM,,UNITED KINGDOM
374668,AMERICAN EXPRESS,CREDIT,PLATINUM,,UNITED KINGDOM
374669,AMERICAN EXPRESS,DEBIT,PERSONAL,JSC BANK OF GEORGIA,GEORGIA
374670,AMERICAN EXPRESS,CREDIT,PERSONAL,AEI ITALY GSTAR CON REV,ITALY
374671,AMERICAN EXPRESS,CREDIT,PERSONAL,AEI ITALY GSTAR CON REV,ITALY
374672,AMERICAN EXPRESS,CREDIT,PERSONAL,AEI ITALY GSTAR CON REV,ITALY
374673,AMERICAN EXPRESS,CREDIT,PERSONAL,AE - ITALY ICONCARD,ITALY
374674,AMERICAN EXPRESS,CREDIT,PERSONAL,AE - ITALY ICONCARD,ITALY
374675,AMERICAN EXPRESS,CREDIT,PERSONAL,AE - ITALY ICONCARD,ITALY
374676,AMERICAN EXPRESS,CREDIT,PERSONAL,AE - ITALY ICONCARD,ITALY
374677,AMERICAN EXPRESS,CREDIT,PERSONAL,AE - ITALY ICONCARD,ITALY
374678,AMERICAN EXPRESS,CREDIT,PERSONAL,AEI ITALY GSTAR CON REV,ITALY
374679,AMERICAN EXPRESS,DEBIT,PREPAID ANONYMOUS,GOLOMT BANK,MONGOLIA
374680,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX UK GLOBESTAR,UNITED KINGDOM
374681,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX UK GLOBESTAR,UNITED KINGDOM
374682,AMERICAN EXPRESS,CREDIT,PERSONAL,AMERICAN EXPRESS JAPAN,JAPAN
374683,AMERICAN EXPRESS,CREDIT,PERSONAL,AMERICAN EXPRESS JAPAN,JAPAN
374684,AMERICAN EXPRESS,CREDIT,PERSONAL,AMERICAN EXPRESS JAPAN,JAPAN
374685,AMERICAN EXPRESS,CREDIT,PERSONAL,AMERICAN EXPRESS JAPAN,JAPAN
374686,AMERICAN EXPRESS,CREDIT,PERSONAL,AMERICAN EXPRESS JAPAN,JAPAN
374687,AMERICAN EXPRESS,CREDIT,PERSONAL,AMERICAN EXPRESS JAPAN,JAPAN
374688,AMERICAN EXPRESS,CREDIT,PERSONAL,AMERICAN EXPRESS JAPAN,JAPAN
374689,AMERICAN EXPRESS,CREDIT,PERSONAL,AMERICAN EXPRESS JAPAN,JAPAN
374690,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX UK GLOBESTAR,UNITED KINGDOM
374691,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX UK GLOBESTAR,UNITED KINGDOM
374692,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX UK GLOBESTAR,UNITED KINGDOM
374693,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX UK GLOBESTAR,UNITED KINGDOM
374694,AMERICAN EXPRESS,CREDIT,PERSONAL,AMERICAN EXPRESS JAPAN,JAPAN
374695,AMERICAN EXPRESS,CREDIT,PERSONAL,AMERICAN EXPRESS JAPAN,JAPAN
374696,AMERICAN EXPRESS,CREDIT,PERSONAL,AMERICAN EXPRESS JAPAN,JAPAN
374697,AMERICAN EXPRESS,CREDIT,PERSONAL,AMERICAN EXPRESS JAPAN,JAPAN
374698,AMERICAN EXPRESS,CREDIT,PERSONAL,AMERICAN EXPRESS JAPAN,JAPAN
374699,AMERICAN EXPRESS,CREDIT,CORPORATE,AMERICAN EXPRESS UK GSTAR CORP,UNITED KINGDOM
374700,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374701,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374702,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374703,AMERICAN EXPRESS,CREDIT,,DANSKE BANK,DENMARK
374704,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374705,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374706,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374707,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374708,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374709,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374710,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374711,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374712,AMERICAN EXPRESS,CREDIT,PERSONAL,BANK OF AMERICA,UNITED STATES
374713,AMERICAN EXPRESS,CREDIT,PERSONAL,BANK OF AMERICA,UNITED STATES
374714,AMERICAN EXPRESS,CREDIT,PERSONAL,BANK OF AMERICA,UNITED STATES
374715,AMERICAN EXPRESS,CREDIT,PERSONAL,BANK OF AMERICA,UNITED STATES
374716,AMERICAN EXPRESS,CREDIT,GREEN,FIA CARD SERVICES,UNITED STATES
374717,AMERICAN EXPRESS,CREDIT,PERSONAL,BANK OF AMERICA,UNITED STATES
374718,AMERICAN EXPRESS,CREDIT,PERSONAL,BANK OF AMERICA,UNITED STATES
374719,AMERICAN EXPRESS,CREDIT,PERSONAL,BANK OF AMERICA,UNITED STATES
374720,AMERICAN EXPRESS,CREDIT,PERSONAL,BANK OF AMERICA,UNITED STATES
374721,AMERICAN EXPRESS,CREDIT,PERSONAL,BANK OF AMERICA,UNITED STATES
374722,AMERICAN EXPRESS,CREDIT,CORPORATE,KOREA EXCHANGE BANK,"KOREA, REPUBLIC OF"
374723,AMERICAN EXPRESS,CREDIT,CORPORATE,KOREA EXCHANGE BANK,"KOREA, REPUBLIC OF"
374724,AMERICAN EXPRESS,CREDIT,PERSONAL,KOREA EXCHANGE BANK,"KOREA, REPUBLIC OF"
374725,AMERICAN EXPRESS,CREDIT,PERSONAL,KB KOOKMIN CARD,"KOREA, REPUBLIC OF"
374726,AMERICAN EXPRESS,DEBIT,PERSONAL GREEN PREPAID,AEASEL,UNITED KINGDOM
374727,AMERICAN EXPRESS,DEBIT,PERSONAL GREEN PREPAID,AEASEL,UNITED KINGDOM
374728,AMERICAN EXPRESS,CREDIT,,"BANCO DO BRASIL, S.A.",BRAZIL
374729,AMERICAN EXPRESS,CREDIT,,"BANCO DO BRASIL, S.A.",BRAZIL
374730,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374731,AMERICAN EXPRESS,CREDIT,,"BANCO DO BRASIL, S.A.",BRAZIL
374732,AMERICAN EXPRESS,CREDIT,,"BANCO DO BRASIL, S.A.",BRAZIL
374733,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374734,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374735,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374736,AMERICAN EXPRESS,CREDIT,PERSONAL GREEN REVOLVE,PSA FINANCE,FRANCE
374737,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374738,AMERICAN EXPRESS,CREDIT,PERSONAL,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CHINA
374739,AMERICAN EXPRESS,CREDIT,PERSONAL,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CHINA
374740,AMERICAN EXPRESS,CREDIT,PERSONAL,"ICICI BANK, LTD.",INDIA
374741,AMERICAN EXPRESS,CREDIT,PERSONAL,"ICICI BANK, LTD.",INDIA
374742,AMERICAN EXPRESS,CREDIT,PERSONAL,"ICICI BANK, LTD.",INDIA
374743,AMERICAN EXPRESS,CREDIT,PERSONAL,NATIONS TRUST BANK,SRI LANKA
374744,AMERICAN EXPRESS,DEBIT,PREPAID,"NATIONS TRUST BANK, LTD.",SRI LANKA
374745,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374746,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374747,AMERICAN EXPRESS,CREDIT,PERSONAL PLATINUM CHARGE,CHARLTON 2 TW,SRI LANKA
374748,AMERICAN EXPRESS,DEBIT,PREPAID,CHARLTON 2 TH,SRI LANKA
374749,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374750,AMERICAN EXPRESS,DEBIT,PREPAID ANONYMOUS,NATIONS TRUST BANK,SRI LANKA
374751,AMERICAN EXPRESS,CREDIT,PERSONAL GREEN CHARGE,SAMPATH BANK PLC,SRI LANKA
374752,AMERICAN EXPRESS,CREDIT,PERSONAL,SAMPATH CREDIT CARD,SRI LANKA
374753,AMERICAN EXPRESS,DEBIT,PREPAID,AEON VIRTUAL PAY,INDIA
374754,AMERICAN EXPRESS,DEBIT,PREPAID,EZ-LINK,SINGAPORE
374755,AMERICAN EXPRESS,DEBIT,PREPAID,EZ-LINK,SINGAPORE
374756,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374757,AMERICAN EXPRESS,CREDIT,PERSONAL GREEN CHARGE,AS CITADELE BANKA (LATVIA),LATVIA
374758,AMERICAN EXPRESS,CREDIT,PERSONAL,BANCO BRADESCO,BRAZIL
374759,AMERICAN EXPRESS,CREDIT,PERSONAL,BANCO BRADESCO,BRAZIL
374760,AMERICAN EXPRESS,CREDIT,CORPORATE,BANCO BRADESCO,BRAZIL
374761,AMERICAN EXPRESS,CREDIT,CORPORATE,BANCO BRADESCO,BRAZIL
374762,AMERICAN EXPRESS,CREDIT,PERSONAL,BANCO BRADESCO,BRAZIL
374763,AMERICAN EXPRESS,CREDIT,PERSONAL,BANCO BRADESCO,BRAZIL
374764,AMERICAN EXPRESS,CREDIT,,"BANCO BRADESCO, S.A.",BRAZIL
374765,AMERICAN EXPRESS,CREDIT,,"BANCO BRADESCO, S.A.",BRAZIL
374766,AMERICAN EXPRESS,CREDIT,,FIDELITY INVESTMENTS,UNITED STATES
374767,AMERICAN EXPRESS,CREDIT,PERSONAL,BANCO BRADESCO,BRAZIL
374768,AMERICAN EXPRESS,CREDIT,PERSONAL,BANCO BRADESCO,BRAZIL
374769,AMERICAN EXPRESS,CREDIT,PERSONAL,BANCO BRADESCO,BRAZIL
374770,AMERICAN EXPRESS,CREDIT,SMALL BUSINESS,BANCO BRADESCO,BRAZIL
374771,AMERICAN EXPRESS,CREDIT,,"BANCO BRADESCO, S.A.",BRAZIL
374772,AMERICAN EXPRESS,CREDIT,,"BANCO BRADESCO, S.A.",BRAZIL
374773,AMERICAN EXPRESS,CREDIT,,"BANCO BRADESCO, S.A.",BRAZIL
374774,AMERICAN EXPRESS,CREDIT,,"BANCO BRADESCO, S.A.",BRAZIL
374775,AMERICAN EXPRESS,CREDIT,,"BANCO BRADESCO, S.A.",BRAZIL
374776,AMERICAN EXPRESS,CREDIT,,"BANCO BRADESCO, S.A.",BRAZIL
374777,AMERICAN EXPRESS,CREDIT,,"BANCO BRADESCO, S.A.",BRAZIL
374778,AMERICAN EXPRESS,DEBIT,PREPAID ANONYMOUS,AXP PCMC,UNITED STATES
374779,AMERICAN EXPRESS,DEBIT,PREPAID RELOADABLE,AXP PCMC,UNITED STATES
374780,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374781,AMERICAN EXPRESS,DEBIT,PREPAID RELOADABLE,AE BANKING CORP - INDIA TVL,INDIA
374782,AMERICAN EXPRESS,DEBIT,PREPAID RELOADABLE,AE BANKING CORP - INDIA TVL,INDIA
374783,AMERICAN EXPRESS,DEBIT,PREPAID RELOADABLE,AE BANKING CORP - INDIA TVL,INDIA
374784,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374785,AMERICAN EXPRESS,CREDIT,PERSONAL PLATINUM CHARGE,"KEB HANA BANK CO., LTD.","KOREA, REPUBLIC OF"
374786,AMERICAN EXPRESS,DEBIT,PERSONAL GREEN PREPAID,AXP PCMC,UNITED STATES
374787,AMERICAN EXPRESS,DEBIT,PERSONAL GREEN PREPAID,AEASEL,UNITED KINGDOM
374788,AMERICAN EXPRESS,DEBIT,PERSONAL GREEN PREPAID,AEASEL,UNITED KINGDOM
374789,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,DENMARK
374790,AMERICAN EXPRESS,CREDIT,CORPORATE,AEESA DENMARK,DENMARK
374791,AMERICAN EXPRESS,CREDIT,CORPORATE,AEESA DENMARK,DENMARK
374792,AMERICAN EXPRESS,CREDIT,CORPORATE,AEESA DENMARK,DENMARK
374793,AMERICAN EXPRESS,CREDIT,CORPORATE,AEESA DENMARK,DENMARK
374794,AMERICAN EXPRESS,CREDIT,CORPORATE,AEESA DENMARK,DENMARK
374795,AMERICAN EXPRESS,CREDIT,CORPORATE,AEESA DENMARK,DENMARK
374796,AMERICAN EXPRESS,CREDIT,CORPORATE,AEESA DENMARK,DENMARK
374797,AMERICAN EXPRESS,CREDIT,CORPORATE,AEESA DENMARK,DENMARK
374798,AMERICAN EXPRESS,CREDIT,CORPORATE,AEESA DENMARK,DENMARK
374799,AMERICAN EXPRESS,CREDIT,CORPORATE,AEESA DENMARK,DENMARK
374800,AMERICAN EXPRESS,CREDIT,PERSONAL,AEESA FINLAND GSTAR CONS REVOLVE,FINLAND
374801,AMERICAN EXPRESS,CREDIT,PERSONAL,AEESA FINLAND GSTAR CONS REVOLVE,FINLAND
374802,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374803,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374804,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374805,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374806,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374807,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374808,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374809,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374810,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374811,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374812,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374813,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374814,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374815,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374816,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374817,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374818,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374819,AMERICAN EXPRESS,DEBIT,PERSONAL,EXPRESS COMPANY,CHINA
374820,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374821,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374822,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374823,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374824,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374825,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374826,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374827,AMERICAN EXPRESS,CREDIT,PERSONAL,SANTANDER,CHILE
374828,AMERICAN EXPRESS,CREDIT,PERSONAL,SANTANDER,CHILE
374829,AMERICAN EXPRESS,CREDIT,PERSONAL,SANTANDER,CHILE
374830,AMERICAN EXPRESS,CREDIT,PERSONAL,BREAD FINANCIAL CYCLE C,UNITED STATES
374831,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374832,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374833,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374834,AMERICAN EXPRESS,CREDIT,PERSONAL,INDUSIND BANK,INDIA
374835,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374836,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374837,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374838,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374839,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374840,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374841,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374842,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374843,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374844,AMERICAN EXPRESS,DEBIT,PERSONAL,NATIONS TRUST BANK,SRI LANKA
374845,AMERICAN EXPRESS,DEBIT,PREPAID ANONYMOUS,PEOPLES CARD SERVICES,CANADA
374846,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374847,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374848,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374849,AMERICAN EXPRESS,CREDIT,CORPORATE,AEBC INDIA GSTAR CORP,INDIA
374850,AMERICAN EXPRESS,CREDIT,CORPORATE,AEBC INDIA GSTAR CORP,INDIA
374851,AMERICAN EXPRESS,CREDIT,CORPORATE,AEBC INDIA GSTAR CORP,INDIA
374852,AMERICAN EXPRESS,CREDIT,CORPORATE,AEBC INDIA GSTAR CORP,INDIA
374853,AMERICAN EXPRESS,CREDIT,CORPORATE,AEBC INDIA GSTAR CORP,INDIA
374854,AMERICAN EXPRESS,CREDIT,CORPORATE,AEBC INDIA GSTAR CORP,INDIA
374855,AMERICAN EXPRESS,CREDIT,CORPORATE,AEBC INDIA GSTAR CORP,INDIA
374856,AMERICAN EXPRESS,CREDIT,CORPORATE,AEBC INDIA GSTAR CORP,INDIA
374857,AMERICAN EXPRESS,CREDIT,CORPORATE,AEBC INDIA GSTAR CORP,INDIA
374858,AMERICAN EXPRESS,CREDIT,CORPORATE,AEBC INDIA GSTAR CORP,INDIA
374859,AMERICAN EXPRESS,CREDIT,CORPORATE,AEBC INDIA GSTAR CORP,INDIA
374860,AMERICAN EXPRESS,CREDIT,CORPORATE,AEBC INDIA GSTAR CORP,INDIA
374861,AMERICAN EXPRESS,DEBIT,PREPAID ANONYMOUS,AXP PREPAID MANAGEMENT COMPANY,UNITED STATES
374862,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374863,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374864,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374865,AMERICAN EXPRESS,CREDIT,PERSONAL,CARDLESS,UNITED STATES
374866,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374867,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374868,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374869,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374870,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374871,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374872,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374873,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374874,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374875,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374876,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374877,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374878,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374879,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374880,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374881,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374882,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374883,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374884,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374885,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374886,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374887,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374888,AMERICAN EXPRESS,CREDIT,PLATINUM,AMERICAN EXPRESS,FINLAND
374889,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374890,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374891,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374892,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374893,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374894,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374895,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374896,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374897,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374898,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374899,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS,FINLAND
374900,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374901,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374902,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374903,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374904,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374905,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374906,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374907,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374908,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374909,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374910,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374911,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374912,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374913,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374914,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374915,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374916,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374917,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374918,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374919,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374920,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
374921,AMERICAN EXPRESS,CREDIT,PERSONAL,AMEX FRANCE GLOBESTAR CHARGE,FRANCE
